"controller","condition","item","reading_time","NA","subject","group_G","ambiguity_G","ambiguity","group"
"DashedSentence","exp1-2","17",6331,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","13",2438,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","3",2105,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","18",6906,"False","Native 10","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","10",3837,"False","Native 10","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","22",4296,"False","Native 10","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","24",5298,"False","Native 10","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","11",4394,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","23",3342,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","15",2616,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","20",2879,"False","Native 10","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","10",5914,"False","Native 11","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","3",10419,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","20",2681,"False","Native 11","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","6",3224,"False","Native 11","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","24",2029,"False","Native 11","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","5",6742,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","7",6634,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","11",8469,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","18",3871,"False","Native 11","Native","Unambiguous",-0.5,-0.5
